07:48:01,654 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending PUT request for: http://localhost:9081/downloadTest.html
07:48:01,660 | DEBUG  | com.dhenton9000.filedownloader.FileDownloader |  207 | link status 405
07:48:01,661 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   49 | using properties file
07:48:01,662 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   52 | reading config in com.lazerycode.selenium.filedownloader.FileUploaderTest
07:48:01,667 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
07:48:01,668 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending TRACE request for: http://localhost:9081/downloadTest.html
07:48:01,673 | DEBUG  | com.dhenton9000.filedownloader.FileDownloader |  207 | link status 403
07:48:01,674 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   49 | using properties file
07:48:01,675 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   52 | reading config in com.lazerycode.selenium.filedownloader.FileUploaderTest
07:48:01,683 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
07:48:01,683 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending DELETE request for: http://localhost:9081/downloadTest.html
07:48:01,688 | DEBUG  | com.dhenton9000.filedownloader.FileDownloader |  207 | link status 405
07:48:01,689 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   49 | using properties file
07:48:01,690 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   52 | reading config in com.lazerycode.selenium.filedownloader.FileUploaderTest
07:48:01,705 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
07:48:01,706 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending GET request for: http://localhost:9081/xls/TestData.xls
07:48:01,714 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
07:48:01,715 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending GET request for: http://localhost:9081/xls/TestData.xls
07:48:01,720 | DEBUG  | com.dhenton9000.filedownloader.FileDownloader |  207 | link status 200
07:48:01,722 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   49 | using properties file
07:48:01,722 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   52 | reading config in com.lazerycode.selenium.filedownloader.FileUploaderTest
07:48:01,739 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
07:48:01,739 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending GET request for: http://localhost:9081/images/ebselen.png
07:48:01,745 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
07:48:01,746 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending GET request for: http://localhost:9081/images/ebselen.png
07:48:01,752 | DEBUG  | com.dhenton9000.filedownloader.FileDownloader |  207 | link status 200
07:48:01,753 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   49 | using properties file
07:48:01,754 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   52 | reading config in com.lazerycode.selenium.filedownloader.FileUploaderTest
07:48:01,770 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
07:48:01,770 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending GET request for: http://localhost:9081/xls/TestData.xls
07:48:01,777 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
07:48:01,777 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending GET request for: http://localhost:9081/xls/TestData.xls
07:48:01,783 | DEBUG  | com.dhenton9000.filedownloader.FileDownloader |  207 | link status 200
07:48:01,785 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   49 | using properties file
07:48:01,786 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   52 | reading config in com.lazerycode.selenium.filedownloader.FileUploaderTest
07:48:01,803 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
07:48:01,804 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending GET request for: http://localhost:9081/xls/TestData.xls
07:48:01,811 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
07:48:01,812 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending GET request for: http://localhost:9081/xls/TestData.xls
07:48:01,817 | DEBUG  | com.dhenton9000.filedownloader.FileDownloader |  207 | link status 200
07:49:06,515 | DEBUG  | com.dhenton9000.excel.ExcelParser |   98 | sheet handler constructor
07:49:06,972 | DEBUG  | com.dhenton9000.excel.ExcelParser |  182 | end for header index: {gamma=67, alpha=65, beta=66}
07:49:06,973 | DEBUG  | com.dhenton9000.excel.ExcelParser |  186 | end for row index: {gamma=3, alpha=A, beta=2}
07:49:06,973 | DEBUG  | com.dhenton9000.excel.ExcelParser |  186 | end for row index: {gamma=30, alpha=10, beta=B}
07:49:06,974 | DEBUG  | com.dhenton9000.excel.ExcelParser |  186 | end for row index: {gamma=C, alpha=100, beta=200}
07:49:06,974 | INFO   | com.dhenton9000.excel.ExcelParser |  127 | ending document [{gamma=3, alpha=A, beta=2}, {gamma=30, alpha=10, beta=B}, {gamma=C, alpha=100, beta=200}]
07:49:07,277 | DEBUG  | com.dhenton9000.phantomjs.PhantomJSTest |   43 | using properties file
07:49:07,320 | DEBUG  | com.dhenton9000.phantomjs.PhantomJSTest |   46 | reading config in com.dhenton9000.phantomjs.PhantomJSTest
07:49:07,321 | DEBUG  | com.dhenton9000.phantomjs.PhantomJSTest |  108 | Test will use PhantomJS internal GhostDriver
07:49:15,679 | INFO   | com.dhenton9000.filedownloader.CheckFileHash |   98 | Filename = 'download.zip'
07:49:15,680 | INFO   | com.dhenton9000.filedownloader.CheckFileHash |   99 | Expected Hash = 'x'
07:49:15,680 | INFO   | com.dhenton9000.filedownloader.CheckFileHash |  100 | Actual Hash = 'def3a66650822363f9e0ae6b9fbdbd6f'
07:49:15,681 | INFO   | com.dhenton9000.filedownloader.CheckFileHash |   98 | Filename = 'download.zip'
07:49:15,682 | INFO   | com.dhenton9000.filedownloader.CheckFileHash |   99 | Expected Hash = 'def3a66650822363f9e0ae6b9fbdbd6f'
07:49:15,683 | INFO   | com.dhenton9000.filedownloader.CheckFileHash |  100 | Actual Hash = 'def3a66650822363f9e0ae6b9fbdbd6f'
07:49:15,708 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   49 | using properties file
07:49:15,710 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   52 | reading config in com.lazerycode.selenium.filedownloader.FileUploaderTest
07:49:15,745 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   49 | using properties file
07:49:15,746 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   52 | reading config in com.lazerycode.selenium.filedownloader.FileUploaderTest
07:49:15,760 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
07:49:15,761 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending GET request for: http://localhost:9081/downloadTest.html
07:49:15,774 | DEBUG  | com.dhenton9000.filedownloader.FileDownloader |  207 | link status 200
07:49:15,777 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   49 | using properties file
07:49:15,778 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   52 | reading config in com.lazerycode.selenium.filedownloader.FileUploaderTest
07:49:15,792 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
07:49:15,793 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending GET request for: http://localhost:9081/doesNotExist.html
07:49:15,802 | DEBUG  | com.dhenton9000.filedownloader.FileDownloader |  207 | link status 404
07:49:15,804 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   49 | using properties file
07:49:15,805 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   52 | reading config in com.lazerycode.selenium.filedownloader.FileUploaderTest
07:49:15,815 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
07:49:15,816 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending GET request for: http://localhost:9081/downloadTest.html
07:49:15,823 | DEBUG  | com.dhenton9000.filedownloader.FileDownloader |  207 | link status 200
07:49:15,824 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   49 | using properties file
07:49:15,826 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   52 | reading config in com.lazerycode.selenium.filedownloader.FileUploaderTest
07:49:15,836 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
07:49:15,837 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending GET request for: http://localhost:9081/doesNotExist.html
07:49:15,844 | DEBUG  | com.dhenton9000.filedownloader.FileDownloader |  207 | link status 404
07:49:15,845 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   49 | using properties file
07:49:15,846 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   52 | reading config in com.lazerycode.selenium.filedownloader.FileUploaderTest
07:49:15,855 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
07:49:15,855 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending GET request for: http://localhost:9081/downloadTest.html
07:49:15,862 | DEBUG  | com.dhenton9000.filedownloader.FileDownloader |  207 | link status 200
07:49:15,863 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   49 | using properties file
07:49:15,865 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   52 | reading config in com.lazerycode.selenium.filedownloader.FileUploaderTest
07:49:15,878 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
07:49:15,880 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending GET request for: http://localhost:9081/doesNotExist.html
07:49:15,890 | DEBUG  | com.dhenton9000.filedownloader.FileDownloader |  207 | link status 404
07:49:15,891 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   49 | using properties file
07:49:15,893 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   52 | reading config in com.lazerycode.selenium.filedownloader.FileUploaderTest
07:49:15,903 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
07:49:15,903 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending HEAD request for: http://localhost:9081/downloadTest.html
07:49:15,914 | DEBUG  | com.dhenton9000.filedownloader.FileDownloader |  207 | link status 200
07:49:15,915 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   49 | using properties file
07:49:15,916 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   52 | reading config in com.lazerycode.selenium.filedownloader.FileUploaderTest
07:49:15,926 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
07:49:15,927 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending HEAD request for: http://localhost:9081/doesNotExist.html
07:49:15,935 | DEBUG  | com.dhenton9000.filedownloader.FileDownloader |  207 | link status 404
07:49:15,936 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   49 | using properties file
07:49:15,938 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   52 | reading config in com.lazerycode.selenium.filedownloader.FileUploaderTest
07:49:15,948 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
07:49:15,949 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending OPTIONS request for: http://localhost:9081/downloadTest.html
07:49:15,956 | DEBUG  | com.dhenton9000.filedownloader.FileDownloader |  207 | link status 200
07:49:15,956 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   49 | using properties file
07:49:15,957 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   52 | reading config in com.lazerycode.selenium.filedownloader.FileUploaderTest
07:49:15,989 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
07:49:15,989 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending POST request for: http://localhost:9081/downloadTest.html
07:49:15,995 | DEBUG  | com.dhenton9000.filedownloader.FileDownloader |  207 | link status 200
07:49:15,995 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   49 | using properties file
07:49:15,996 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   52 | reading config in com.lazerycode.selenium.filedownloader.FileUploaderTest
07:49:16,002 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
07:49:16,003 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  191 | Sending PUT request for: http://localhost:9081/downloadTest.html
07:49:16,008 | DEBUG  | com.dhenton9000.filedownloader.FileDownloader |  207 | link status 405
07:49:16,009 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   49 | using properties file
07:49:16,010 | DEBUG  | com.lazerycode.selenium.filedownloader.FileUploaderTest |   52 | reading config in com.lazerycode.selenium.filedownloader.FileUploaderTest
07:49:16,016 | INFO   | com.dhenton9000.filedownloader.FileDownloader |  179 | Mimic WebDriver cookie state: true
